This file was created using the 201603 Bloomberg database.

Missing data are indicated by -99.99.



,WML
201010    ,1.39
201011    ,2.37
201012   ,-2.62
201101   ,-0.42
201102    ,2.07
201103    ,2.14
201104    ,0.06
201105   ,-0.59
201106    ,1.32
201107    ,1.32
201108   ,-1.09
201109   ,-3.16
201110   ,-0.49
201111    ,2.88
201112    ,1.15
201201   ,-6.08
201202    ,1.25
201203    ,0.85
201204    ,2.87
201205    ,6.10
201206   ,-0.65
201207    ,1.84
201208   ,-2.20
201209   ,-1.80
201210    ,0.45
201211    ,0.96
201212   ,-2.15
201301   ,-0.72
201302    ,2.18
201303    ,2.15
201304    ,1.53
201305    ,0.14
201306    ,0.96
201307    ,1.10
201308   ,-0.92
201309    ,3.39
201310    ,0.28
201311    ,1.90
201312    ,0.26
201401    ,1.30
201402    ,1.12
201403   ,-3.06
201404   ,-3.80
201405    ,1.10
201406    ,0.74
201407   ,-0.19
201408    ,0.96
201409    ,0.18
201410   ,-0.96
201411    ,1.19
201412    ,0.34
201501    ,4.73
201502   ,-1.29
201503    ,2.56
201504   ,-6.92
201505    ,5.80
201506    ,2.83
201507    ,7.38
201508   ,-2.16
201509    ,3.34
201510   ,-2.94
201511    ,2.42
201512    ,3.01
201601   ,-0.25
201602   ,-4.80
201603   ,-4.20



 Annual Factors: January-December
,WML
1991   ,23.17
1992    ,7.40
1993   ,24.51
1994    ,0.56
1995   ,16.24
1996    ,4.97
1997   ,13.55
1998   ,25.09
1999   ,56.14
2000   ,-8.31
2001    ,4.00
2002   ,26.74
2003  ,-13.75
2004    ,2.25
2005   ,19.78
2006   ,-4.84
2007   ,20.96
2008    ,5.81
2009  ,-63.35
2010    ,7.44
2011    ,4.28
2012    ,3.00
2013   ,15.96
2014   ,-1.14
2015   ,18.28
