This file was created using the 201603 Bloomberg database.

Missing data are indicated by -99.99.



,WML
1992   ,15.78
1993    ,5.98
1994   ,-1.00
1995   ,25.92
1996   ,21.30
1997   ,12.01
1998   ,17.81
1999   ,38.23
2000  ,-22.27
2001   ,21.97
2002   ,44.32
2003  ,-12.84
2004    ,9.08
2005   ,18.85
2006   ,16.49
2007   ,20.24
2008   ,14.90
2009  ,-49.32
2010   ,30.10
2011    ,7.84
2012    ,9.05
2013   ,25.04
2014    ,4.50
2015   ,20.39
